NSProduto,NSJiga,Etapa,Pt100,DataHora
20003179,19130589,Validacao,Fail,2020-07-30 07:07:31
20007828,19130588,Validacao,Ok,2020-07-30 04:08:18
20004016,19130589,Calibracao,Ok,2020-07-30 20:14:42
20003318,19130589,Validacao,Fail,2020-07-30 23:26:57
20007694,19130589,Calibracao,Ok,2020-07-30 04:04:56
20007691,19130586,Calibracao,Fail,2020-07-30 10:12:30
20009150,19130589,Calibracao,Ok,2020-07-30 13:06:08
20007818,19130588,Validacao,Fail,2020-07-30 23:15:44
20005800,19130589,Calibracao,Fail,2020-07-30 10:52:45
20001837,19130590,Validacao,Ok,2020-07-30 13:14:42
20001138,19130586,Validacao,Ok,2020-07-30 12:36:57
20003013,19130586,Validacao,Ok,2020-07-30 15:14:22
20009330,19130589,Calibracao,Fail,2020-07-30 01:49:56
20000723,19130588,Calibracao,Ok,2020-07-30 05:34:42
20003811,19130590,Calibracao,Fail,2020-07-30 11:58:28
20009606,19130589,Validacao,Fail,2020-07-30 17:02:17
20008984,19130590,Validacao,Fail,2020-07-30 05:41:59
20002656,19130589,Validacao,Fail,2020-07-30 13:33:41
20003270,19130590,Calibracao,Fail,2020-07-30 04:45:56
20009645,19130586,Validacao,Ok,2020-07-30 13:38:21
20004117,19130587,Validacao,Fail,2020-07-30 03:04:56
20005158,19130590,Calibracao,Ok,2020-07-30 06:43:28
20001326,19130590,Calibracao,Ok,2020-07-30 16:55:41
20001084,19130589,Validacao,Ok,2020-07-30 05:51:08
20000989,19130586,Calibracao,Fail,2020-07-30 03:08:47
20009644,19130586,Validacao,Ok,2020-07-30 09:19:58
20008104,19130588,Validacao,Fail,2020-07-30 23:45:00
20002983,19130588,Validacao,Ok,2020-07-30 23:24:47
20001648,19130588,Calibracao,Fail,2020-07-30 13:02:32
20005381,19130590,Calibracao,Ok,2020-07-30 17:58:20
20004526,19130589,Validacao,Fail,2020-07-30 09:53:59
20007771,19130586,Validacao,Ok,2020-07-30 14:39:04
20006873,19130588,Validacao,Ok,2020-07-30 21:52:01
20000025,19130588,Validacao,Fail,2020-07-30 02:10:33
20000409,19130588,Calibracao,Fail,2020-07-30 01:44:07
20006271,19130590,Calibracao,Fail,2020-07-30 17:00:34
20003167,19130589,Calibracao,Ok,2020-07-30 16:19:19
20007354,19130586,Calibracao,Ok,2020-07-30 15:38:37
20009006,19130586,Calibracao,Ok,2020-07-30 08:41:12
20005759,19130589,Validacao,Fail,2020-07-30 08:40:31
20002424,19130587,Validacao,Fail,2020-07-30 23:29:17
20004887,19130588,Validacao,Fail,2020-07-30 01:57:32
20000415,19130588,Calibracao,Ok,2020-07-30 12:26:28
20000991,19130587,Validacao,Fail,2020-07-30 01:15:04
20002572,19130590,Validacao,Ok,2020-07-30 20:54:20
20006521,19130590,Validacao,Fail,2020-07-30 06:09:15
20007090,19130588,Calibracao,Ok,2020-07-30 05:29:05
20000946,19130590,Validacao,Fail,2020-07-30 01:20:15
20009832,19130588,Validacao,Ok,2020-07-30 04:41:08
20003087,19130587,Calibracao,Fail,2020-07-30 04:50:14
20005407,19130590,Calibracao,Ok,2020-07-30 04:49:14
20009297,19130589,Validacao,Fail,2020-07-30 18:01:25
20008330,19130587,Validacao,Fail,2020-07-30 00:30:51
20001723,19130589,Calibracao,Fail,2020-07-30 19:00:09
20000431,19130589,Validacao,Fail,2020-07-30 19:54:05
20006881,19130590,Calibracao,Ok,2020-07-30 03:21:09
20006675,19130589,Validacao,Fail,2020-07-30 23:35:43
20006390,19130586,Validacao,Fail,2020-07-30 16:10:43
20002059,19130589,Validacao,Fail,2020-07-30 02:48:50
20008784,19130588,Calibracao,Ok,2020-07-30 06:51:49
20006939,19130590,Validacao,Fail,2020-07-30 06:14:56
20008793,19130588,Calibracao,Fail,2020-07-30 01:48:23
20008299,19130587,Validacao,Fail,2020-07-30 04:18:54
20005031,19130590,Calibracao,Fail,2020-07-30 05:45:12
20008351,19130589,Calibracao,Fail,2020-07-30 19:17:13
20006613,19130586,Calibracao,Fail,2020-07-30 21:50:19
20009135,19130588,Calibracao,Ok,2020-07-30 00:53:11
20008591,19130586,Validacao,Fail,2020-07-30 08:27:23
20005977,19130587,Calibracao,Ok,2020-07-30 11:09:06
20003950,19130586,Validacao,Fail,2020-07-30 09:50:56
20003473,19130588,Calibracao,Ok,2020-07-30 08:23:10
20004741,19130587,Validacao,Fail,2020-07-30 12:44:27
20005870,19130588,Calibracao,Ok,2020-07-30 04:14:19
20003770,19130587,Validacao,Fail,2020-07-30 23:17:41
20005401,19130588,Validacao,Ok,2020-07-30 16:11:56
20009475,19130590,Validacao,Ok,2020-07-30 03:09:25
20007208,19130589,Calibracao,Ok,2020-07-30 08:38:24
20000124,19130587,Validacao,Ok,2020-07-30 23:48:51
20008537,19130586,Validacao,Ok,2020-07-30 02:18:08
20004824,19130587,Validacao,Fail,2020-07-30 04:07:00
20002446,19130589,Calibracao,Ok,2020-07-30 18:03:10
20007951,19130586,Validacao,Fail,2020-07-30 14:04:06
20002343,19130590,Calibracao,Fail,2020-07-30 02:32:01
20006854,19130590,Validacao,Ok,2020-07-30 14:58:28
20005064,19130588,Validacao,Fail,2020-07-30 06:39:04
20004493,19130588,Calibracao,Fail,2020-07-30 20:40:36
20003478,19130587,Calibracao,Ok,2020-07-30 05:55:17
20000124,19130590,Calibracao,Fail,2020-07-30 23:21:24
20008122,19130588,Validacao,Fail,2020-07-30 23:23:08
20002601,19130590,Validacao,Fail,2020-07-30 08:37:28
20006196,19130587,Calibracao,Ok,2020-07-30 19:59:32
20004778,19130588,Calibracao,Ok,2020-07-30 03:23:03
20005648,19130589,Validacao,Fail,2020-07-30 20:56:09
20007379,19130589,Calibracao,Ok,2020-07-30 02:47:35
20009842,19130588,Validacao,Fail,2020-07-30 18:10:11
20004022,19130586,Validacao,Ok,2020-07-30 19:46:03
20002274,19130589,Validacao,Ok,2020-07-30 16:33:31
20000618,19130589,Validacao,Ok,2020-07-30 06:57:23
20005709,19130588,Calibracao,Fail,2020-07-30 05:21:35
20004711,19130590,Calibracao,Ok,2020-07-30 12:15:52
20000349,19130590,Validacao,Fail,2020-07-30 07:17:02
20001419,19130590,Validacao,Ok,2020-07-30 18:09:22
20002537,19130589,Validacao,Ok,2020-07-30 15:11:28
20007351,19130590,Validacao,Ok,2020-07-30 03:19:27
20001363,19130588,Calibracao,Fail,2020-07-30 15:09:41
20000353,19130588,Validacao,Fail,2020-07-30 23:40:40
20009217,19130586,Validacao,Fail,2020-07-30 11:42:17
20000630,19130586,Calibracao,Fail,2020-07-30 19:50:07
20003693,19130587,Calibracao,Fail,2020-07-30 10:23:25
20007785,19130586,Validacao,Fail,2020-07-30 07:37:14
20003141,19130587,Validacao,Fail,2020-07-30 18:24:36
20008732,19130586,Calibracao,Ok,2020-07-30 12:40:33
20005468,19130589,Validacao,Fail,2020-07-30 17:30:27
20003914,19130588,Calibracao,Ok,2020-07-30 14:48:34
20006131,19130589,Calibracao,Fail,2020-07-30 19:57:18
20006203,19130588,Validacao,Fail,2020-07-30 23:12:10
20005120,19130587,Calibracao,Fail,2020-07-30 05:46:05
20004510,19130588,Validacao,Ok,2020-07-30 09:38:23
20007354,19130586,Validacao,Ok,2020-07-30 21:35:54
20001963,19130589,Calibracao,Fail,2020-07-30 03:49:29
20002954,19130587,Calibracao,Ok,2020-07-30 16:18:58
20009395,19130587,Validacao,Ok,2020-07-30 14:05:39
20002874,19130589,Calibracao,Ok,2020-07-30 14:39:04
20004577,19130587,Calibracao,Fail,2020-07-30 17:01:40
20000275,19130588,Calibracao,Ok,2020-07-30 23:49:27
20000314,19130587,Calibracao,Ok,2020-07-30 04:30:13
20001210,19130587,Calibracao,Fail,2020-07-30 10:35:48
20005882,19130586,Calibracao,Ok,2020-07-30 07:42:56
20009115,19130587,Validacao,Ok,2020-07-30 05:37:29
20002517,19130590,Validacao,Fail,2020-07-30 02:05:21
20004579,19130590,Calibracao,Ok,2020-07-30 06:48:45
20001812,19130586,Calibracao,Fail,2020-07-30 11:09:05
20008951,19130587,Validacao,Ok,2020-07-30 21:29:31
20003991,19130590,Validacao,Fail,2020-07-30 01:14:06
20006260,19130586,Validacao,Ok,2020-07-30 01:20:07
20001530,19130588,Calibracao,Ok,2020-07-30 16:05:40
20001537,19130588,Validacao,Fail,2020-07-30 16:25:50
20000004,19130586,Calibracao,Ok,2020-07-30 18:44:49
20001958,19130589,Calibracao,Ok,2020-07-30 17:59:14
20005693,19130587,Calibracao,Ok,2020-07-30 16:47:33
20004552,19130586,Calibracao,Ok,2020-07-30 05:04:25
20006609,19130587,Validacao,Ok,2020-07-30 14:45:40
20004029,19130586,Calibracao,Ok,2020-07-30 14:53:17
20003572,19130589,Validacao,Fail,2020-07-30 17:20:47
20005953,19130586,Validacao,Ok,2020-07-30 18:55:18
20008874,19130588,Calibracao,Fail,2020-07-30 02:51:45
20004549,19130589,Validacao,Fail,2020-07-30 04:29:27
20002627,19130587,Calibracao,Fail,2020-07-30 13:52:00
20000733,19130589,Validacao,Ok,2020-07-30 07:51:29
20007124,19130588,Calibracao,Ok,2020-07-30 09:28:06
20003699,19130589,Calibracao,Ok,2020-07-30 08:33:55
20005967,19130588,Calibracao,Fail,2020-07-30 12:35:51
20001269,19130588,Validacao,Ok,2020-07-30 00:42:00
20009348,19130590,Validacao,Ok,2020-07-30 04:02:02
20004200,19130588,Calibracao,Ok,2020-07-30 23:59:44
20009549,19130586,Validacao,Ok,2020-07-30 11:06:55
20003468,19130589,Validacao,Fail,2020-07-30 00:46:58
20009121,19130587,Validacao,Fail,2020-07-30 03:11:47
20005262,19130586,Validacao,Fail,2020-07-30 22:51:59
20009630,19130590,Calibracao,Fail,2020-07-30 13:22:43
20004967,19130588,Validacao,Fail,2020-07-30 15:13:52
20004126,19130587,Validacao,Fail,2020-07-30 15:01:46
20006552,19130588,Validacao,Ok,2020-07-30 07:04:42
20008701,19130589,Validacao,Ok,2020-07-30 12:26:15
20000084,19130590,Validacao,Ok,2020-07-30 01:52:30
20005915,19130589,Calibracao,Fail,2020-07-30 02:37:37
20000621,19130589,Calibracao,Fail,2020-07-30 12:38:51
20004703,19130589,Validacao,Ok,2020-07-30 15:25:11
20006513,19130588,Calibracao,Fail,2020-07-30 06:38:44
20007207,19130590,Validacao,Ok,2020-07-30 20:34:59
20004221,19130586,Calibracao,Ok,2020-07-30 01:41:41
20001754,19130588,Validacao,Fail,2020-07-30 03:02:05
20009748,19130586,Validacao,Fail,2020-07-30 11:31:48
20008978,19130590,Calibracao,Ok,2020-07-30 17:15:13
20004013,19130586,Validacao,Ok,2020-07-30 09:22:57
20009379,19130589,Calibracao,Fail,2020-07-30 06:07:48
20005809,19130589,Validacao,Fail,2020-07-30 11:23:42
20002236,19130587,Calibracao,Fail,2020-07-30 08:46:06
20001846,19130587,Calibracao,Ok,2020-07-30 04:45:29
20005683,19130589,Calibracao,Fail,2020-07-30 02:18:18
20003828,19130590,Validacao,Fail,2020-07-30 19:04:45
20000835,19130586,Validacao,Ok,2020-07-30 01:56:02
20001797,19130589,Calibracao,Fail,2020-07-30 15:34:40
20007112,19130590,Validacao,Fail,2020-07-30 21:47:23
20003873,19130590,Validacao,Ok,2020-07-30 02:13:00
20002326,19130588,Calibracao,Ok,2020-07-30 04:10:29
20006582,19130589,Validacao,Fail,2020-07-30 14:03:46
20001658,19130590,Calibracao,Ok,2020-07-30 06:04:35
20005682,19130588,Validacao,Fail,2020-07-30 09:25:00
20006303,19130586,Calibracao,Ok,2020-07-30 02:05:05
20004017,19130590,Calibracao,Ok,2020-07-30 20:10:38
20008629,19130586,Calibracao,Ok,2020-07-30 00:29:07
20002227,19130589,Validacao,Fail,2020-07-30 18:13:55
20004129,19130590,Calibracao,Ok,2020-07-30 22:02:23
20007394,19130586,Calibracao,Fail,2020-07-30 13:37:13
20009385,19130587,Calibracao,Fail,2020-07-30 08:51:41
20009601,19130589,Validacao,Fail,2020-07-30 05:28:46
20000802,19130589,Calibracao,Ok,2020-07-30 06:29:01
20004508,19130588,Calibracao,Ok,2020-07-30 19:24:22
20007560,19130589,Calibracao,Fail,2020-07-30 15:42:04
20008753,19130590,Calibracao,Ok,2020-07-30 04:48:19
20003076,19130587,Calibracao,Fail,2020-07-30 16:01:22
20008725,19130590,Validacao,Fail,2020-07-30 03:02:54
20003477,19130590,Validacao,Ok,2020-07-30 05:23:59
20007728,19130589,Calibracao,Fail,2020-07-30 04:41:33
20007549,19130590,Validacao,Fail,2020-07-30 23:58:40
20008642,19130588,Validacao,Fail,2020-07-30 02:02:54
20008747,19130587,Calibracao,Ok,2020-07-30 04:34:28
20006651,19130588,Calibracao,Fail,2020-07-30 16:38:04
20000706,19130590,Calibracao,Fail,2020-07-30 03:06:07
20003847,19130589,Validacao,Ok,2020-07-30 14:47:12
20000132,19130588,Validacao,Ok,2020-07-30 10:12:36
20003738,19130589,Validacao,Ok,2020-07-30 10:27:24
20004425,19130587,Calibracao,Ok,2020-07-30 06:21:13
20000043,19130589,Calibracao,Fail,2020-07-30 02:13:10
20002638,19130590,Validacao,Fail,2020-07-30 03:55:11
20001157,19130588,Calibracao,Ok,2020-07-30 08:19:34
20002811,19130587,Validacao,Fail,2020-07-30 06:47:59
20009669,19130587,Calibracao,Ok,2020-07-30 03:27:48
20008330,19130587,Validacao,Ok,2020-07-30 10:24:12
20005629,19130590,Validacao,Fail,2020-07-30 15:52:07
20002892,19130589,Validacao,Ok,2020-07-30 08:10:12
20007964,19130588,Validacao,Fail,2020-07-30 16:11:29
20001369,19130590,Calibracao,Ok,2020-07-30 15:59:47
20001131,19130588,Calibracao,Ok,2020-07-30 07:17:30
20005051,19130586,Validacao,Fail,2020-07-30 19:33:18
20009169,19130590,Validacao,Ok,2020-07-30 13:24:34
20003969,19130588,Validacao,Ok,2020-07-30 18:05:24
20006795,19130590,Validacao,Ok,2020-07-30 14:21:39
20004500,19130587,Validacao,Fail,2020-07-30 15:18:50
20000864,19130587,Validacao,Ok,2020-07-30 03:03:39
20005492,19130586,Validacao,Fail,2020-07-30 06:52:23
20008340,19130590,Validacao,Fail,2020-07-30 12:01:48
20007565,19130590,Calibracao,Ok,2020-07-30 03:15:45
20004193,19130588,Validacao,Ok,2020-07-30 03:51:06
20008709,19130589,Validacao,Fail,2020-07-30 11:45:10
20005112,19130589,Calibracao,Fail,2020-07-30 08:51:44
20000570,19130589,Validacao,Ok,2020-07-30 22:03:37
20009913,19130589,Calibracao,Ok,2020-07-30 21:33:52
20007279,19130586,Validacao,Fail,2020-07-30 09:50:08
20005319,19130590,Calibracao,Ok,2020-07-30 09:44:16
20002013,19130588,Calibracao,Fail,2020-07-30 20:52:47
20008364,19130587,Calibracao,Ok,2020-07-30 22:26:57
20008878,19130587,Calibracao,Ok,2020-07-30 11:12:42
20001348,19130586,Calibracao,Fail,2020-07-30 03:42:43
20009374,19130588,Calibracao,Ok,2020-07-30 01:08:13
20007053,19130588,Validacao,Fail,2020-07-30 20:41:52
20000386,19130588,Calibracao,Fail,2020-07-30 16:46:43
20003358,19130590,Validacao,Ok,2020-07-30 00:58:40
20000332,19130586,Validacao,Ok,2020-07-30 11:06:49
20004260,19130588,Validacao,Ok,2020-07-30 17:01:04
20008561,19130589,Calibracao,Ok,2020-07-30 00:27:34
20004622,19130586,Validacao,Ok,2020-07-30 19:26:06
20008742,19130590,Validacao,Fail,2020-07-30 17:41:30
20009783,19130590,Validacao,Ok,2020-07-30 06:44:49
20005359,19130588,Calibracao,Ok,2020-07-30 18:51:22
20009823,19130590,Validacao,Fail,2020-07-30 11:08:49
20007719,19130586,Validacao,Fail,2020-07-30 12:12:13
20005911,19130589,Calibracao,Ok,2020-07-30 11:27:50
20002340,19130587,Calibracao,Fail,2020-07-30 06:58:29
20003119,19130587,Validacao,Ok,2020-07-30 02:20:22
20008356,19130589,Validacao,Fail,2020-07-30 01:28:14
20000473,19130587,Validacao,Ok,2020-07-30 16:09:08
20002408,19130588,Validacao,Fail,2020-07-30 08:17:11
20007683,19130586,Validacao,Fail,2020-07-30 17:13:50
20004981,19130586,Calibracao,Fail,2020-07-30 07:38:52
20002435,19130588,Calibracao,Fail,2020-07-30 20:57:56
20003398,19130589,Calibracao,Fail,2020-07-30 03:02:18
20003100,19130586,Validacao,Ok,2020-07-30 10:20:24
20008031,19130590,Calibracao,Fail,2020-07-30 11:37:35
20005216,19130589,Validacao,Ok,2020-07-30 06:35:53
20005337,19130586,Calibracao,Fail,2020-07-30 06:44:18
20006989,19130586,Calibracao,Fail,2020-07-30 21:21:14
20007533,19130587,Validacao,Ok,2020-07-30 12:11:25
20003462,19130588,Calibracao,Fail,2020-07-30 02:45:10
20004562,19130588,Calibracao,Ok,2020-07-30 16:04:14
20000629,19130586,Calibracao,Fail,2020-07-30 12:52:07
20008166,19130586,Validacao,Fail,2020-07-30 20:08:29
20001174,19130590,Validacao,Ok,2020-07-30 23:35:02
20009885,19130587,Validacao,Ok,2020-07-30 05:45:28
20005612,19130586,Calibracao,Fail,2020-07-30 17:54:30
20009364,19130588,Validacao,Fail,2020-07-30 14:15:33
20006244,19130589,Calibracao,Fail,2020-07-30 00:59:11
20005312,19130588,Calibracao,Fail,2020-07-30 12:03:30
20006923,19130590,Calibracao,Fail,2020-07-30 18:05:40
20005558,19130586,Calibracao,Ok,2020-07-30 14:55:20
20009579,19130590,Validacao,Ok,2020-07-30 01:44:40
20002498,19130590,Validacao,Fail,2020-07-30 00:32:36
20004987,19130589,Validacao,Ok,2020-07-30 02:58:00
20006298,19130588,Validacao,Ok,2020-07-30 10:21:50
20004033,19130588,Calibracao,Ok,2020-07-30 23:38:17
20009420,19130589,Validacao,Fail,2020-07-30 20:23:19
20003245,19130588,Validacao,Fail,2020-07-30 00:30:30
20003557,19130590,Validacao,Ok,2020-07-30 13:57:49
20009772,19130589,Calibracao,Fail,2020-07-30 02:57:03
20001388,19130588,Calibracao,Ok,2020-07-30 19:55:08
20002411,19130586,Calibracao,Fail,2020-07-30 09:50:57
20009452,19130590,Calibracao,Fail,2020-07-30 19:56:47
20002459,19130586,Validacao,Fail,2020-07-30 00:37:03
20004006,19130587,Calibracao,Ok,2020-07-30 07:34:43
20008825,19130587,Calibracao,Fail,2020-07-30 22:11:03
20009386,19130589,Validacao,Fail,2020-07-30 17:20:39
20005955,19130590,Validacao,Fail,2020-07-30 19:19:27
20003493,19130587,Validacao,Ok,2020-07-30 05:54:38
20003915,19130587,Calibracao,Ok,2020-07-30 06:48:55
20009436,19130590,Validacao,Ok,2020-07-30 11:50:02
20007756,19130587,Calibracao,Fail,2020-07-30 09:52:04
20002436,19130587,Calibracao,Fail,2020-07-30 12:25:14
20004203,19130589,Validacao,Fail,2020-07-30 15:06:43
20001713,19130586,Calibracao,Fail,2020-07-30 16:23:21
20003310,19130587,Calibracao,Fail,2020-07-30 05:27:39
20000184,19130587,Calibracao,Fail,2020-07-30 08:11:19
20008585,19130590,Calibracao,Fail,2020-07-30 06:01:19
20001765,19130587,Calibracao,Fail,2020-07-30 03:27:10
20005340,19130589,Calibracao,Ok,2020-07-30 15:36:31
20004884,19130587,Validacao,Fail,2020-07-30 10:00:55
20008338,19130590,Calibracao,Fail,2020-07-30 19:52:29
20002247,19130586,Calibracao,Ok,2020-07-30 06:11:26
20006433,19130587,Calibracao,Ok,2020-07-30 19:59:07
20008312,19130589,Validacao,Fail,2020-07-30 06:10:47
20006132,19130588,Validacao,Ok,2020-07-30 02:24:51
20005783,19130589,Validacao,Ok,2020-07-30 22:23:41
20001892,19130586,Validacao,Ok,2020-07-30 15:56:46
20009974,19130587,Calibracao,Fail,2020-07-30 18:52:15
20005876,19130586,Calibracao,Ok,2020-07-30 17:02:28
20008449,19130587,Validacao,Fail,2020-07-30 21:21:12
20005073,19130587,Calibracao,Fail,2020-07-30 01:19:49
20003109,19130590,Validacao,Ok,2020-07-30 15:16:34
20009503,19130588,Calibracao,Fail,2020-07-30 04:19:57
20008870,19130586,Calibracao,Fail,2020-07-30 08:41:46
20009982,19130590,Calibracao,Fail,2020-07-30 20:21:57
20006442,19130590,Calibracao,Ok,2020-07-30 06:27:49
20002975,19130589,Calibracao,Fail,2020-07-30 19:25:08
20009528,19130586,Calibracao,Ok,2020-07-30 15:39:54
20000737,19130590,Calibracao,Ok,2020-07-30 04:41:30
20002488,19130586,Validacao,Fail,2020-07-30 22:18:01
20006713,19130587,Validacao,Ok,2020-07-30 10:55:33
20002749,19130589,Calibracao,Fail,2020-07-30 08:52:52
20006021,19130589,Validacao,Fail,2020-07-30 19:07:25
20004209,19130586,Validacao,Ok,2020-07-30 16:10:20
20004453,19130587,Validacao,Ok,2020-07-30 21:54:00
20007357,19130590,Calibracao,Ok,2020-07-30 18:33:24
20004213,19130590,Validacao,Ok,2020-07-30 03:27:03
20007139,19130586,Validacao,Fail,2020-07-30 13:23:50
20001483,19130586,Calibracao,Fail,2020-07-30 03:37:04
20006090,19130587,Validacao,Fail,2020-07-30 13:40:58
20009768,19130587,Validacao,Fail,2020-07-30 09:39:33
20000649,19130588,Calibracao,Fail,2020-07-30 22:59:50
20002099,19130590,Calibracao,Fail,2020-07-30 15:32:07
20006450,19130590,Validacao,Ok,2020-07-30 09:49:54
20007988,19130586,Validacao,Ok,2020-07-30 16:33:54
20009455,19130586,Calibracao,Ok,2020-07-30 01:56:05
20007852,19130589,Calibracao,Ok,2020-07-30 12:28:55
20004102,19130588,Calibracao,Ok,2020-07-30 10:07:29
20001184,19130587,Validacao,Ok,2020-07-30 16:21:33
20000748,19130589,Validacao,Fail,2020-07-30 09:27:47
20000719,19130589,Validacao,Fail,2020-07-30 01:54:47
20002883,19130590,Calibracao,Fail,2020-07-30 08:17:10
20008107,19130587,Validacao,Fail,2020-07-30 14:05:36
20005697,19130589,Validacao,Ok,2020-07-30 08:38:32
20004030,19130586,Calibracao,Fail,2020-07-30 10:20:06
20009086,19130588,Validacao,Ok,2020-07-30 21:36:16
20000330,19130588,Validacao,Fail,2020-07-30 01:02:29
20009175,19130587,Validacao,Ok,2020-07-30 23:13:40
20009954,19130588,Calibracao,Ok,2020-07-30 13:45:30
20004195,19130587,Calibracao,Ok,2020-07-30 20:43:38
20002809,19130587,Calibracao,Ok,2020-07-30 08:41:38
